Country,Code,Year,Index
Afghanistan,AFG,2000,50.9
Albania,ALB,2000,20.7
Algeria,DZA,2000,14.5
Angola,AGO,2000,65
Argentina,ARG,2000,6.4
Armenia,ARM,2000,19.3
Azerbaijan,AZE,2000,25
Bangladesh,BGD,2000,34
Belarus,BLR,2000,2.5
Benin,BEN,2000,34
Bolivia,BOL,2000,27.7
Bosnia and Herzegovina,BIH,2000,9.3
Botswana,BWA,2000,26.7
Brazil,BRA,2000,11.5
Bulgaria,BGR,2000,8.6
Burkina Faso,BFA,2000,44.9
Cambodia,KHM,2000,41.1
Cameroon,CMR,2000,35.7
Cape Verde,CPV,2000,15.4
Central African Republic,CAF,2000,48.9
Chad,TCD,2000,50.8
Chile,CHL,2000,2.5
China,CHN,2000,13.3
Colombia,COL,2000,10.9
Congo,COG,2000,34.9
Costa Rica,CRI,2000,7
Cote d'Ivoire,CIV,2000,33.3
Croatia,HRV,2000,2.5
Cuba,CUB,2000,2.5
Democratic Republic of Congo,COD,2000,50.6
Djibouti,DJI,2000,44.3
Dominican Republic,DOM,2000,15.1
Ecuador,ECU,2000,19.7
Egypt,EGY,2000,16.3
El Salvador,SLV,2000,14.7
Estonia,EST,2000,2.5
Eswatini,SWZ,2000,24.5
Ethiopia,ETH,2000,53.5
Fiji,FJI,2000,9.6
Gabon,GAB,2000,21
Gambia,GMB,2000,29
Georgia,GEO,2000,12.3
Ghana,GHA,2000,28.4
Guatemala,GTM,2000,28.4
Guyana,GUY,2000,17.1
Haiti,HTI,2000,42
Honduras,HND,2000,21.8
India,IND,2000,38.8
Indonesia,IDN,2000,26.1
Iran,IRN,2000,13.5
Iraq,IRQ,2000,23.9
Jamaica,JAM,2000,8.6
Jordan,JOR,2000,10.8
Kazakhstan,KAZ,2000,11.2
Kenya,KEN,2000,36.7
Kuwait,KWT,2000,2.5
Kyrgyzstan,KGZ,2000,18.3
Laos,LAO,2000,44.1
Latvia,LVA,2000,5.5
Lebanon,LBN,2000,11.6
Lesotho,LSO,2000,32.5
Liberia,LBR,2000,48.1
Lithuania,LTU,2000,2.5
Madagascar,MDG,2000,42.8
Malawi,MWI,2000,43.1
Malaysia,MYS,2000,15.4
Mali,MLI,2000,41.7
Mauritania,MRT,2000,31.9
Mauritius,MUS,2000,15.2
Mexico,MEX,2000,10.2
Mongolia,MNG,2000,30.2
Morocco,MAR,2000,15.5
Mozambique,MOZ,2000,48
Myanmar,MMR,2000,39.8
Namibia,NAM,2000,25.3
Nepal,NPL,2000,37.4
Nicaragua,NIC,2000,22.3
Nigeria,NGA,2000,39.5
North Korea,PRK,2000,39.5
North Macedonia,MKD,2000,7.5
Oman,OMN,2000,14.7
Pakistan,PAK,2000,36.7
Panama,PAN,2000,18.7
Papua New Guinea,PNG,2000,33.6
Paraguay,PRY,2000,11.7
Peru,PER,2000,20.6
Philippines,PHL,2000,25
Romania,ROU,2000,7.9
Russia,RUS,2000,10.1
Rwanda,RWA,2000,49.3
Saudi Arabia,SAU,2000,11
Senegal,SEN,2000,34
Sierra Leone,SLE,2000,57.7
Slovakia,SVK,2000,6
Solomon Islands,SLB,2000,20
Somalia,SOM,2000,58.1
South Africa,ZAF,2000,18.1
Sri Lanka,LKA,2000,21.9
Suriname,SUR,2000,15.1
Tanzania,TZA,2000,40.6
Thailand,THA,2000,18.5
Togo,TGO,2000,39.1
Trinidad and Tobago,TTO,2000,11
Tunisia,TUN,2000,10.3
Turkey,TUR,2000,10.2
Turkmenistan,TKM,2000,20.1
Ukraine,UKR,2000,13
Uruguay,URY,2000,7.4
Uzbekistan,UZB,2000,24.3
Venezuela,VEN,2000,14.6
Vietnam,VNM,2000,26.3
Yemen,YEM,2000,41
United States of America,USA,2000,3.0
Canada,CAD,2000,4.1
Sudan,,2000,38.9
South Sudan,,2000,38.0
Niger,,2000,40.0
Australia,,2000,3.0
Zambia,,2000,35.0
Zombabwe,,2000,30.0
