Country,Code,Year,Prevalence
Afghanistan,AFG,2001,47.79999924
Albania,ALB,2001,4.900000095
Algeria,DZA,2001,8
Angola,AGO,2001,67.5
Argentina,ARG,2001,3
Armenia,ARM,2001,26.10000038
Australia,AUS,2001,2.5
Austria,AUT,2001,2.5
Azerbaijan,AZE,2001,17
Bangladesh,BGD,2001,15.89999962
Barbados,BRB,2001,6.400000095
Belarus,BLR,2001,2.5
Belgium,BEL,2001,2.5
Belize,BLZ,2001,5.800000191
Benin,BEN,2001,17.20000076
Bolivia,BOL,2001,27.89999962
Bosnia and Herzegovina,BIH,2001,3.200000048
Botswana,BWA,2001,23.70000076
Brazil,BRA,2001,10.69999981
Brunei,BRN,2001,2.599999905
Bulgaria,BGR,2001,4
Burkina Faso,BFA,2001,22.60000038
Cambodia,KHM,2001,23.60000038
Cameroon,CMR,2001,22.89999962
Canada,CAN,2001,2.5
Cape Verde,CPV,2001,14.5
Central African Republic,CAF,2001,39.20000076
Chad,TCD,2001,38.79999924
Chile,CHL,2001,3.400000095
China,CHN,2001,10.10000038
Colombia,COL,2001,8.699999809
Congo,COG,2001,27
Costa Rica,CRI,2001,4.699999809
Cote d'Ivoire,CIV,2001,20.39999962
Croatia,HRV,2001,6.800000191
Cuba,CUB,2001,2.5
Cyprus,CYP,2001,5.099999905
Czechia,CZE,2001,2.5
Democratic Republic of Congo,COD,2001,38.20000076
Denmark,DNK,2001,2.5
Djibouti,DJI,2001,42
Dominica,DMA,2001,3.700000048
Dominican Republic,DOM,2001,20.39999962
East Asia and Pacific,,2001,12.20297337
Ecuador,ECU,2001,21
Egypt,EGY,2001,5.199999809
El Salvador,SLV,2001,7.199999809
Estonia,EST,2001,3.599999905
Eswatini,SWZ,2001,10.5
Ethiopia,ETH,2001,47
Europe and Central Asia,,2001,3.754417419
European Union,,2001,2.636772156
Fiji,FJI,2001,4
Finland,FIN,2001,2.5
France,FRA,2001,2.5
French Polynesia,PYF,2001,4.199999809
Gabon,GAB,2001,10.69999981
Gambia,GMB,2001,17.79999924
Georgia,GEO,2001,7.699999809
Germany,DEU,2001,2.5
Ghana,GHA,2001,14.89999962
Greece,GRC,2001,2.5
Guatemala,GTM,2001,22.20000076
Guyana,GUY,2001,6.5
Haiti,HTI,2001,53.20000076
High income,,2001,2.67554903
Honduras,HND,2001,21.89999962
Hong Kong,HKG,2001,2.5
Hungary,HUN,2001,2.5
Iceland,ISL,2001,2.5
India,IND,2001,18.39999962
Indonesia,IDN,2001,19.20000076
Iran,IRN,2001,4.800000191
Iraq,IRQ,2001,22.39999962
Ireland,IRL,2001,2.5
Israel,ISR,2001,2.5
Italy,ITA,2001,2.5
Jamaica,JAM,2001,7.400000095
Japan,JPN,2001,2.5
Jordan,JOR,2001,9.699999809
Kazakhstan,KAZ,2001,6.5
Kenya,KEN,2001,32.20000076
Kiribati,KIR,2001,4.400000095
Kuwait,KWT,2001,2.599999905
Kyrgyzstan,KGZ,2001,15.10000038
Laos,LAO,2001,31.20000076
Latin America and Caribbean,,2001,10.8240366
Latvia,LVA,2001,4.599999905
Lebanon,LBN,2001,7.800000191
Lesotho,LSO,2001,20
Liberia,LBR,2001,36.59999847
Lithuania,LTU,2001,2.5
Low and middle income,,2001,15.42663479
Low income,,2001,36.81651688
Lower middle income,,2001,18.09220886
Luxembourg,LUX,2001,2.5
Macao,MAC,2001,21.20000076
Madagascar,MDG,2001,33.79999924
Malawi,MWI,2001,23.60000038
Malaysia,MYS,2001,2.5
Mali,MLI,2001,16.20000076
Malta,MLT,2001,2.5
Mauritania,MRT,2001,8.300000191
Mauritius,MUS,2001,5.699999809
Mexico,MEX,2001,3.299999952
Middle East and North Africa,,2001,8.347758293
Middle income,,2001,13.95148563
Mongolia,MNG,2001,31.10000038
Montenegro,MNE,2001,9.600000381
Morocco,MAR,2001,6.300000191
Mozambique,MOZ,2001,36.5
Myanmar,MMR,2001,37.59999847
Namibia,NAM,2001,13.5
Nepal,NPL,2001,23.5
Netherlands,NLD,2001,2.5
New Caledonia,NCL,2001,8.399999619
New Zealand,NZL,2001,2.5
Nicaragua,NIC,2001,27.5
Nigeria,NGA,2001,8.899999619
North America,,2001,2.5
North Korea,PRK,2001,35.70000076
North Macedonia,MKD,2001,7.5
Norway,NOR,2001,2.5
Oman,OMN,2001,12.30000019
Pakistan,PAK,2001,21.10000038
Panama,PAN,2001,24.5
Papua New Guinea,PNG,2001,26.29999924
Paraguay,PRY,2001,10.5
Peru,PER,2001,21.5
Philippines,PHL,2001,18.70000076
